text,sentiment
the food quality in mess has improved a lot this week,positive
wifi is working great now thank you,positive
room is very clean and well maintained excellent,positive
maintenance team responded quickly and fixed the issue,positive
really happy with the new mess menu variety,positive
hostel staff is very helpful and polite,positive
the new cleaning schedule is working really well,positive
issue was resolved within few hours great service,positive
very satisfied with the hostel facilities overall,positive
the new wifi router is much faster thank you,positive
warden was very understanding and approved my request,positive
mess food is good and nutritious,positive
great improvement in hostel cleanliness,positive
very comfortable room and good amenities,positive
appreciate the prompt response to my complaint,positive
water leakage problem not fixed yet very frustrated,negative
wifi has been down for three days no action taken,negative
mess food is terrible and unhygienic disgusting quality,negative
room is filthy and no one comes to clean disgusting,negative
complaint was raised a week ago but still not resolved,negative
ac stopped working unbearable heat in room,negative
broken furniture in my room nobody came to fix it,negative
security is very poor suspicious people in hostel,negative
noise at night nobody is taking action pathetic,negative
very bad experience with hostel management,negative
fee receipt not provided after payment frustrated,negative
warden is very rude and unhelpful,negative
toilet is not clean health hazard,negative
no response from administration worst service,negative
electricity cut daily for hours very inconvenient,negative
room is okay nothing special,neutral
complaint submitted will wait for response,neutral
noted the issue will follow up later,neutral
fan makes noise but manageable for now,neutral
mess timing is a bit inconvenient but okay,neutral
wifi speed is average sometimes fast sometimes slow,neutral
submitted leave application waiting for approval,neutral
room maintenance done but could be better,neutral
hostel facilities are average as expected,neutral
issue partially resolved need follow up,neutral
